"";"Year";"Square";"Number";"SpitNum";"SpitID";"Assemblage";"X";"Y";"Z";"Code";"Orientation";"Dip"
"1018";2013;"J52";"341";"11";"J52A_11";"SUP";99,423;101,553;-0,721;"FAUNA";NA;NA
"1019";2013;"J52";"342";"11";"J52A_11";"SUP";99,362;101,571;-0,734;"FAUNA";NA;NA
"1020";2013;"J52";"343";"11";"J52A_11";"SUP";99,291;101,654;-0,718;"FAUNA";NA;NA
"1021";2013;"J52";"344";"11";"J52A_11";"SUP";99,119;101,626;-0,719;"FAUNA";NA;NA
"1022";2013;"J52";"345";"11";"J52C_11";"SUP";99,372;101,492;-0,729;"FAUNA";NA;NA
"1023";2013;"J52";"346";"11";"J52A_11";"SUP";99,197;101,94;-0,685;"FAUNA";NA;NA
"1024";2013;"J52";"347";"11";"J52A_11";"SUP";99,281;101,881;-0,708;"FAUNA";NA;NA
"1025";2013;"J52";"348";"11";"J52A_11";"SUP";99,246;101,82;-0,724;"FAUNA";NA;NA
"1026";2013;"J52";"349";"11";"J52A_11";"SUP";99,304;101,819;-0,746;"FAUNA";NA;NA
"1027";2013;"J52";"350";"11";"J52A_11";"SUP";99,41;101,614;-0,721;"FAUNA";NA;NA
"1028";2013;"J52";"351";"11";"J52A_11";"SUP";99,394;101,641;-0,73;"FAUNA";NA;NA
"1029";2013;"J52";"352";"11";"J52A_11";"SUP";99,368;101,706;-0,744;"FAUNA";NA;NA
"1030";2013;"J52";"353";"11";"J52A_11";"SUP";99,417;101,579;-0,729;"FAUNA";NA;NA
"1031";2013;"J52";"355";"12";"J52D_12";"SUP";99,542;101,366;-0,778;"FAUNA";NA;NA
"1032";2013;"J52";"356";"12";"J52D_12";"SUP";99,516;101,454;-0,76;"FAUNA";NA;NA
"1033";2013;"J52";"357";"12";"J52C_12";"SUP";99,252;101,264;-0,755;"FAUNA";NA;NA
"1034";2013;"J52";"358";"12";"J52B_12";"SUP";99,991;101,525;-0,779;"FAUNA";NA;NA
